file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/Mac/Downloads/Shop-Management-System-master/activity/MyProfileActivity.java,activity.MyProfileActivity,"MyProfileActivity/2[javax.swing.JFrame,attr.Customer]",TRUE,20,2,5,1,4,1,22,109,0,0,2,22,0,0,0,0,0,0,13,66,20,5,0,0,0,0,37,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/MyProfileActivity.java,activity.MyProfileActivity,"MyProfileActivity/2[javax.swing.JFrame,attr.Employee]",TRUE,150,2,6,1,5,1,23,100,0,0,2,23,0,0,0,0,0,0,13,62,19,6,0,0,0,0,37,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/LoginActivity.java,activity.LoginActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,89,4,4,0,4,6,8,25,0,3,1,8,0,0,0,2,0,0,1,3,3,0,3,0,0,0,20,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/LoginActivity.java,activity.LoginActivity,LoginActivity/0,TRUE,16,0,12,12,0,1,14,60,0,0,0,14,0,0,0,0,0,0,7,37,10,2,0,0,0,0,25,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewCustomerActivity.java,activity.ViewCustomerActivity$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],FALSE,87,1,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ChangePasswordActivity.java,activity.ChangePasswordActivity,ChangePasswordActivity/1[attr.User],TRUE,16,1,1,1,0,1,11,40,0,0,1,11,0,0,0,0,0,0,5,24,8,0,0,0,0,0,20,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ChangePasswordActivity.java,activity.ChangePasswordActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,67,1,1,0,1,3,5,10,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,getRole/0,FALSE,43,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,setPhoneNumber/1[int],FALSE,28,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,setSalary/1[double],FALSE,34,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,getSalary/0,FALSE,46,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,getPhoneNumber/0,FALSE,37,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,setEmployeeName/1[java.lang.String],FALSE,22,0,1,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,getEmployeeName/0,FALSE,40,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,createEmployee/0,FALSE,50,0,1,1,0,5,9,32,0,4,0,9,0,0,0,2,2,0,18,0,6,3,3,0,0,0,34,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,"searchEmployee/2[java.lang.String,java.lang.String]",FALSE,202,0,4,4,0,8,14,38,1,5,2,14,0,0,1,3,2,0,16,0,9,3,3,0,0,0,32,9,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,setRole/1[java.lang.String],FALSE,31,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,fetch/0,FALSE,85,0,2,2,0,7,12,36,0,5,0,12,0,0,1,3,2,0,12,0,12,2,3,0,0,0,23,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,deleteEmployee/0,FALSE,162,0,1,1,0,5,9,37,0,4,0,9,0,0,0,2,2,0,16,1,11,3,3,0,0,0,21,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,"updateEmployee/4[java.lang.String,int,java.lang.String,double]",FALSE,126,0,2,2,0,5,9,33,0,3,4,9,0,0,0,2,2,0,15,0,9,3,3,0,0,0,23,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Employee.java,attr.Employee,Employee/1[java.lang.String],TRUE,17,1,4,3,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/EmployeeActivity.java,activity.EmployeeActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,90,5,5,0,5,6,3,24,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/EmployeeActivity.java,activity.EmployeeActivity,EmployeeActivity/1[java.lang.String],TRUE,16,1,5,2,3,2,17,62,0,0,1,17,0,0,0,0,0,0,8,31,9,5,1,0,0,0,23,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/AddProductActivity.java,activity.AddProductActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,103,5,10,0,10,7,20,32,0,1,1,20,0,0,0,0,1,0,6,0,1,0,3,0,0,0,26,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/AddProductActivity.java,activity.AddProductActivity,"AddProductActivity/2[activity.ViewProductActivity,attr.Employee]",TRUE,18,2,1,1,0,1,14,70,0,0,2,14,0,0,0,0,0,0,8,44,14,2,0,0,0,0,29,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewCustomerActivity.java,activity.ViewCustomerActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,106,2,2,0,2,4,9,15,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewCustomerActivity.java,activity.ViewCustomerActivity,jTable_ClickMouseClicked/1[java.awt.event.MouseEvent],FALSE,121,1,2,1,1,1,5,6,0,3,1,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,15,2,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewCustomerActivity.java,activity.ViewCustomerActivity,"ViewCustomerActivity/2[javax.swing.JFrame,attr.Employee]",TRUE,22,2,3,1,2,1,18,71,0,1,2,18,0,0,0,0,0,0,10,36,13,2,0,1,0,0,50,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/MyProductActivity.java,activity.MyProductActivity,"MyProductActivity/2[javax.swing.JFrame,attr.Customer]",TRUE,21,1,2,1,1,1,15,44,0,0,2,15,0,0,0,0,0,0,4,21,9,2,0,0,0,0,26,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/MyProductActivity.java,activity.MyProductActivity,actionPerformed/1[java.awt.event.ActionEvent],FALSE,74,1,1,0,1,3,3,12,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/MyProductActivity.java,activity.MyProductActivity,jTable_ClickMouseClicked/1[java.awt.event.MouseEvent],FALSE,86,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/activity/ViewEmployeeActivity.java,activity.ViewEmployeeActivity$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],FALSE,95,1,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,createProduct/0,FALSE,158,0,1,1,0,5,9,29,0,3,0,9,0,0,0,2,2,0,12,0,5,2,3,0,0,0,27,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,setQuantity/1[int],FALSE,37,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,Product/1[java.lang.String],TRUE,21,0,1,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,getProductName/0,FALSE,43,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,Product/0,TRUE,20,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,getPrice/0,FALSE,46,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,setProductName/1[java.lang.String],FALSE,28,0,1,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,9,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,"updateProduct/3[java.lang.String,double,int]",FALSE,126,0,2,2,0,5,9,29,0,3,3,9,0,0,0,2,2,0,13,0,5,2,3,0,0,0,19,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,setPrice/1[double],FALSE,34,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,"searchProduct/2[java.lang.String,java.lang.String]",FALSE,190,0,5,5,0,8,16,38,1,5,2,16,0,0,1,3,2,0,15,0,9,3,3,0,0,0,32,9,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,getQuantity/0,FALSE,49,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,deleteProduct/0,FALSE,234,0,1,1,0,5,9,29,0,3,0,9,0,0,0,2,2,0,10,0,5,2,3,0,0,0,20,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,"sellProduct/2[java.lang.String,int]",FALSE,93,1,2,1,1,5,13,30,0,4,2,13,1,1,0,2,2,1,14,0,6,4,3,0,0,0,29,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,getProductId/0,FALSE,40,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
/Users/Mac/Downloads/Shop-Management-System-master/attr/Product.java,attr.Product,fetch/0,FALSE,53,0,1,1,0,7,13,34,0,4,0,13,0,0,1,3,2,0,11,0,10,2,3,0,0,0,21,1,0,FALSE
